URL,Marque,Modele,Annee,Kilometrage,Carburant,Transmission,Prix
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509427/dacia-sandero.html,Dacia,Sandero,2024,61000 ,Diesel,Manuelle,79000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509426/audi-a1.html,Audi,A1,2018,120000 ,Diesel,Automatique,195000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509425/opel-astra.html,Opel,Astra,2012,316000 ,Diesel,Manuelle,93000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509424/volkswagen-passat.html,Volkswagen,Passat,2015,200000 ,Diesel,Manuelle,163000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509423/dacia-logan.html,Dacia,Logan,2014,280000 ,Diesel,Manuelle,68000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509422/jeep-wrangler.html,Jeep,Wrangler,2023,32000 ,Diesel,Automatique,195000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509421/volkswagen-tiguan.html,Volkswagen,Tiguan,2018,130000 ,Diesel,Automatique,3800000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509420/changan-uni-k.html,Changan,UNI-K,2025,21000 ,Essence,Automatique,295000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509419/volkswagen-touareg.html,Volkswagen,Touareg,2014,228800 ,Diesel,Automatique,163000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509418/renault-megane.html,Renault,Megane,2006,270000 ,Diesel,Manuelle,78000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509417/volkswagen-polo.html,Volkswagen,Polo,2007,183000 ,Essence,Manuelle,67000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509416/toyota-yaris.html,Toyota,Yaris,2005,125000 ,Essence,Manuelle,50000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509415/renault-megane.html,Renault,Megane,2006,270000 ,Diesel,Manuelle,78000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509414/hyundai-tucson.html,Hyundai,Tucson,2023,55000 ,Diesel,Automatique,250000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509413/kia-sorento.html,Kia,Sorento,2024,33000 ,Diesel,Automatique,500000
https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/509412/hyundai-tucson.html,Hyundai,Tucson,2018,300000 ,Diesel,Manuelle,150000
